Date,Time,Symbol,Side,Quantity,Price,Commission
2023-06-06,08:58:00,BMEA,B,66,38.6600,0
2023-06-06,11:48:00,BMEA,S,66,37.8900,0
2023-06-06,09:08:00,CAR,B,14,179.4400,0
2023-06-06,15:00:00,CAR,S,14,184.6000,0
2023-06-06,09:29:00,PARR,B,112,22.5850,0
2023-06-06,15:00:00,PARR,S,112,22.9000,0
2023-06-06,09:55:00,GPRE,B,80,31.6500,0
2023-06-06,15:00:00,GPRE,S,80,32.1000,0
2023-06-06,09:55:00,MXL,B,90,27.9300,0
2023-06-06,15:00:00,MXL,S,90,27.7400,0
2023-06-06,10:10:00,BMI,B,17,145.5300,0
2023-06-06,15:00:00,BMI,S,17,146.7300,0
2023-06-06,10:13:00,GRPN,B,413,6.1350,0
2023-06-06,15:00:00,GRPN,S,413,6.1100,0
2023-06-06,13:32:00,IFRX,B,607,4.1950,0
2023-06-06,15:00:00,IFRX,S,607,4.2000,0
2023-06-06,14:21:00,VOR,B,490,5.1700,0
2023-06-06,15:00:00,VOR,S,490,5.3000,0
2023-06-06,14:59:00,NNBR,B,1283,1.9900,0
2023-06-06,15:00:00,NNBR,S,1283,1.9800,0
2023-06-07,09:28:00,BMEA,S,66,38.2250,0
2023-06-07,10:16:00,BMEA,B,66,38.6700,0
2023-06-07,08:54:00,MXL,B,90,28.2950,0
2023-06-07,15:00:00,MXL,S,90,28.9800,0
2023-06-07,09:02:00,CAR,B,13,190.2500,0
2023-06-07,15:00:00,CAR,S,13,191.8100,0
2023-06-07,09:15:00,GPRE,S,78,32.2800,0
2023-06-07,15:00:00,GPRE,B,78,32.0600,0
2023-06-07,09:25:00,PARR,B,108,23.4650,0
2023-06-07,15:00:00,PARR,S,108,24.0350,0
2023-06-07,09:52:00,SPIR,S,3394,0.7053,0
2023-06-07,15:00:00,SPIR,B,3394,0.7156,0
2023-06-07,11:00:00,NEXA,S,467,5.4000,0
2023-06-07,15:00:00,NEXA,B,467,5.3500,0
2023-06-07,13:58:00,IMAX,B,133,19.0950,0
2023-06-07,15:00:00,IMAX,S,133,18.9550,0
2023-06-07,14:49:00,ACHV,S,413,6.1200,0
2023-06-07,15:00:00,ACHV,B,413,5.9800,0
2023-06-07,14:54:00,BMI,B,16,150.6500,0
2023-06-07,15:00:00,BMI,S,16,150.6800,0
2023-06-07,14:55:00,GRPN,S,448,5.6750,0
2023-06-07,15:00:00,GRPN,B,448,5.6500,0
2023-06-07,14:57:00,IFRX,S,617,4.1200,0
2023-06-07,15:00:00,IFRX,B,617,4.1250,0
2023-06-08,09:22:00,GRPN,B,497,5.1650,0
2023-06-08,09:31:00,GRPN,S,248,5.3716,0
2023-06-08,09:31:00,GRPN,S,249,5.3733,0
2023-06-08,09:43:00,MXL,B,88,29.1200,0
2023-06-08,10:37:00,MXL,S,88,28.9200,0
2023-06-08,08:58:00,BMEA,B,62,41.3900,0
